Run_ID	Model	RMSE
16	LassoPred	1.45077400571699
16	RidgePred	2.58199336077891
16	ForwardPredMean	1.25491771708547
16	BMA_Mean	0.664662111407244
95	RFPred	2.73853318982452
95	LassoPred	1.48715189801422
95	RidgePred	2.73358831722659
95	ForwardPredMean	1.3910215125845
95	BMA_Mean	0.657861808207497
50	RFPred	2.67104356275912
50	LassoPred	1.57778658446544
50	RidgePred	2.61464242051816
50	ForwardPredMean	0.762945387625783
50	BMA_Mean	0.682126687305198
89	RFPred	3.0908578743178
89	LassoPred	1.68338881494531
89	RidgePred	3.03333746691068
89	ForwardPredMean	1.21628127288936
89	BMA_Mean	1.23385854760051
30	RFPred	3.4005613863421
30	LassoPred	1.67754844955334
30	RidgePred	3.13338214625528
30	ForwardPredMean	1.4768567016692
30	BMA_Mean	0.889052859701044
77	RFPred	1.33324686087925
77	LassoPred	0.948078872957186
77	RidgePred	1.54746283935725
77	ForwardPredMean	0.982304276752004
77	BMA_Mean	0.815281396451877
34	RFPred	1.26144070692725
34	LassoPred	0.846643417876205
34	RidgePred	1.52494169729947
34	ForwardPredMean	0.951019855859324
34	BMA_Mean	0.881030227354044
18	RFPred	1.51268458492872
18	LassoPred	1.06632142114357
18	RidgePred	1.70952043248534
18	ForwardPredMean	0.847609397819451
18	BMA_Mean	0.899660576906974
22	RFPred	0.901178679630344
22	LassoPred	0.904677144383312
22	RidgePred	1.30908419963164
22	ForwardPredMean	1.10633707735104
22	BMA_Mean	0.715649063755765
55	RFPred	0.876106165963569
55	LassoPred	0.676363521094936
55	RidgePred	1.24150464467856
55	ForwardPredMean	0.766769818737102
55	BMA_Mean	0.598051053830523
31	RFPred	0.897960022062013
31	LassoPred	0.630002331113466
31	RidgePred	1.30140953648894
31	ForwardPredMean	0.789580573321397
31	BMA_Mean	0.579233944683829
28	RFPred	1.23418363530765
28	LassoPred	0.65761806501466
28	RidgePred	1.69080824583308
28	ForwardPredMean	1.51216262259193
28	BMA_Mean	0.645502246051797
6	RFPred	0.853890510865361
6	LassoPred	0.88604695529784
6	RidgePred	1.34401698990651
6	ForwardPredMean	0.846235273930765
6	BMA_Mean	0.782892222394326
29	RFPred	1.14060501799252
29	LassoPred	1.26444875585026
29	RidgePred	1.46094145649193
29	ForwardPredMean	1.06805921448778
29	BMA_Mean	0.777171909690141
99	RFPred	1.68729382540407
99	LassoPred	0.911209445126852
99	RidgePred	1.51714892713126
99	ForwardPredMean	0.953447692311701
99	BMA_Mean	0.903772342747152
63	RFPred	0.967070398320623
63	LassoPred	0.943677500384848
63	RidgePred	1.31888335267821
63	ForwardPredMean	1.03911293750366
63	BMA_Mean	0.63725487183196
67	RFPred	1.14133730107717
67	LassoPred	1.2775008089705
67	RidgePred	1.39319140632871
67	ForwardPredMean	1.1454946549055
67	BMA_Mean	0.699539944198352
97	RFPred	1.03522826514307
97	LassoPred	0.652738081128215
97	RidgePred	1.66968104438295
97	ForwardPredMean	0.680315987194954
97	BMA_Mean	0.667232830841786
7	RFPred	1.02679970072166
7	LassoPred	0.714904597051703
7	RidgePred	1.43644576381824
7	ForwardPredMean	0.756860384197619
7	BMA_Mean	0.68685249023948
46	RFPred	1.09154283797735
46	LassoPred	0.852162283767874
46	RidgePred	1.34203430845419
46	ForwardPredMean	1.03831080905852
46	BMA_Mean	0.722780062743604
72	RFPred	1.09348241099461
72	LassoPred	0.907102866265153
72	RidgePred	1.55550220716451
72	ForwardPredMean	0.869809914423065
72	BMA_Mean	0.915731628430193
57	RFPred	0.866202995777934
57	LassoPred	0.618997049773253
57	RidgePred	1.27607126382839
57	ForwardPredMean	0.986059909931877
57	BMA_Mean	0.529502737339252
15	RFPred	1.0889653883599
15	LassoPred	0.812761398197145
15	RidgePred	1.23975568381959
15	ForwardPredMean	0.789721447010515
15	BMA_Mean	0.69280076008233
76	RFPred	1.10634858364556
76	LassoPred	0.99587252318601
76	RidgePred	1.09134592990389
76	ForwardPredMean	0.982125598525833
76	BMA_Mean	0.710559721412022
58	RFPred	1.15627216990638
58	LassoPred	0.867259252105029
58	RidgePred	1.27401738082549
58	ForwardPredMean	0.868302967244772
58	BMA_Mean	0.881103776900002
33	RFPred	0.925757766436444
33	LassoPred	0.844552924903638
33	RidgePred	1.08833911567668
33	ForwardPredMean	0.835865686239864
33	BMA_Mean	0.66627818103903
53	RFPred	1.40040131959783
53	LassoPred	1.64326921592864
53	RidgePred	1.45790574846253
53	ForwardPredMean	0.973554650092238
53	BMA_Mean	0.830496444030974
42	RFPred	1.23324245051134
42	LassoPred	1.10888692100171
42	RidgePred	1.24904899731629
42	ForwardPredMean	0.98315617279577
42	BMA_Mean	0.866503182810552
5	RFPred	1.06633327341749
5	LassoPred	1.0931431898991
5	RidgePred	1.13705868909823
5	ForwardPredMean	0.977400892872279
5	BMA_Mean	0.693371301740507
87	RFPred	1.03724229567229
87	LassoPred	0.822273646704793
87	RidgePred	1.22315437872438
87	ForwardPredMean	0.787555119519733
87	BMA_Mean	0.894376739915619
91	RFPred	1.22909960091536
91	LassoPred	1.24665741755421
91	RidgePred	1.22309770915694
91	ForwardPredMean	1.26480294200233
91	BMA_Mean	0.652042689577712
14	RFPred	1.04441260844439
14	LassoPred	1.11092592821783
14	RidgePred	1.37739114333928
14	ForwardPredMean	1.40090849880493
14	BMA_Mean	0.680903498526379
27	RFPred	1.08026296612717
27	LassoPred	1.38983428316172
27	RidgePred	1.23711067347772
27	ForwardPredMean	1.59440096057613
27	BMA_Mean	0.734249749364437
98	RFPred	0.87815525609384
98	LassoPred	0.899428185080947
98	RidgePred	1.12018270774937
98	ForwardPredMean	0.922261129093148
98	BMA_Mean	0.560710844714121
71	RFPred	0.946562652429923
71	LassoPred	1.27459679182486
71	RidgePred	1.23052681662315
71	ForwardPredMean	1.16146417644825
71	BMA_Mean	0.653412642513285
81	RFPred	1.0693421430448
81	LassoPred	0.827673921055571
81	RidgePred	1.41346482297657
81	ForwardPredMean	0.940972885057522
81	BMA_Mean	0.786942089398833
68	RFPred	1.46507545154414
68	LassoPred	0.813831568383665
68	RidgePred	1.40127141742689
